Video ID,Create Time,Duration,Description,Author ID,Author Nickname,Author Unique ID,Digg Count,Follower Count,Following Count,Friend Count,Heart Count,Video Count,Collect Count,Comment Count,Digg Count,Play Count,Share Count,Video URL
7494714110727245064,2025-04-18 17:58:34,82,#မချစ်သင့်သော #foryou #fyppppppppppppppppppppppp #forpage #tiktokviews #fyp #thinkyoutiktokmyanmar #1mviews #ရောက်ချင်တဲ့နေရာရောက်👌 ,7338688254202889221,10M(Dex),an.dexlyrics1,129,98100,5,0,2300000,221,365,77,8614,118300,42,https://www.tiktok.com/@an.dexlyrics1/video/7494714110727245064
7485017731662744839,2025-03-23 14:51:41,29,မချစ်သင့်သော 🥀🥹#for_you ,7150042216656110593,Khun Sai  Ti ha,userjq86p9z07d,22100,2409,9787,0,3395,12,55,86,1793,98400,23,https://www.tiktok.com/@userjq86p9z07d/video/7485017731662744839
7485224033898761490,2025-03-24 04:12:16,15,#ရွှေရုပ် #theinmwavethansin #သိမ်မွေ့သံစဥ် #foryou #ရောက်ချင်တဲ့နေရာရောက်👌 #မချစ်သင့်သော #foryoupage #fpyシ #fppppppppppppppppppp #ငယ်ငယ်တုန်းကနဲ့ခုနဲ့ဘာကွာလဲ😎😎😁😁 ,7483897751471522834,Thein Mwave Than Sin,theinmwavethansin,18,224100,2,0,2500000,47,339,83,12100,264900,97,https://www.tiktok.com/@theinmwavethansin/video/7485224033898761490
7485260898995768584,2025-03-24 06:35:19,96,ဒီအချစ်နဲ့ အပေါ်ယံများနဲ့လဲမလို့လား ဆိုပြီး ပြောရအောင်ကလဲ နှစ်ယောက်လုံးက ရွှေရုပ်ကို အသေရရ အရှင်ရရတွေ🥹@Thein Mwave Than Sin #theinmwavethansin #မချစ်သင့်သော #redflag #အောင်ရဲလင်း #fyp #CapCut ,7484587855110865927,Butterfly’s Thein Mwave,butterflys.thein,16,14200,2,0,230000,30,3616,338,69700,737400,2697,https://www.tiktok.com/@butterflys.thein/video/7485260898995768584
7379059700693880082,2024-06-11 02:00:27,18,မချစ်သင့်သော (Red Flag) ဇာတ်လမ်းတွဲ #အောင်ရဲလင်း #ရဲရင့်သော် #သိမ်မွေ့သံစဉ် #မချစ်သင့်သော ,6911594363156726790,Mupaing🌷,yinmoepaing5,552,165700,81,0,1800000,63,8972,648,251500,5400000,1538,https://www.tiktok.com/@yinmoepaing5/video/7379059700693880082
7486587554574159126,2025-03-27 20:23:22,99,ဒီနေ့ကစပြီး ကိုကြီးရဲ့ ရွှေရုပါလို့ caption မထိုးတော့ပါ။ #မချစ်သင့်သော #အောင်ရဲလင်း #ရှိန်းမင်း #သိမ်မွေ့သံစဉ် #aungyelin #foryou #burmesetvseries #,7304192912383607841,michico,michico6386,1079,75900,11,0,1200000,65,3169,313,76000,1300000,273,https://www.tiktok.com/@michico6386/video/7486587554574159126
7482448981016972562,2025-03-16 16:43:37,96,#မချစ်သင့်သော #red flag in a relationship ideas #လူကြမ်းလည်းချစ်တတ်တဲ့နှလုံးသားရှိပါတယ်#fyppppppppppppppppppppppp ,7426206669816677381,pyaesone🌸🤍,aliveerin4926,48500,6634,6372,0,137400,33,3031,295,62800,640900,584,https://www.tiktok.com/@aliveerin4926/video/7482448981016972562
7494588013448547606,2025-04-18 09:49:15,15,ချစ်လို့ ငယ်ငယ်လေးတုန်းကပုံလေး #အောင်ရဲလင်း #ကလေးလေး #ချစ်လို့ #ရှိန်းမင်း #မချစ်သင့်သော #လွမ်းလို့မကျန်ရစ်စေလို ,7304192912383607841,michico,michico6386,1079,75900,11,0,1200000,65,34,24,806,26300,9,https://www.tiktok.com/@michico6386/video/7494588013448547606
7480507123319721234,2025-03-11 11:08:13,8,#မချစ်သင့်သော #အောင်ရဲလင်း #မြန်မာtiktok ,6605019188913504257,Nay Shwe Thway ko,ohmybabby7,33800,1675,1907,0,7289,63,232,116,4609,178900,241,https://www.tiktok.com/@ohmybabby7/video/7480507123319721234
7392136460507303184,2024-07-16 07:45:41,58,ဆောင့်ဆွဲရင် ရုန်းရင်းဆန်ခတ်ဖြစ်မှာစိုးလို့ ပွေ့ချီပြီး ‌ခေါ်သွားလိုက်တာပါ...#aungyelin #အောင်ရဲလင်း #မချစ်သင့်သော #redflag #မချစ်သင့်သော(redflag) #သိမ်မွေ့သံစဉ် #theinmwethansin #celegabar #celegabarmedia #cele #myanmarcelebrity #myanmarcelebritytiktok #myanmarcele #myanmarcelebritynews #cg,7293753049921963014,Cele Gabar,celegabarmedia,9,843000,0,0,12300000,1280,223,69,6030,131000,29,https://www.tiktok.com/@celegabarmedia/video/7392136460507303184
