Video ID,Create Time,Duration,Description,Author ID,Author Nickname,Author Unique ID,Digg Count,Follower Count,Following Count,Friend Count,Heart Count,Video Count,Collect Count,Comment Count,Digg Count,Play Count,Share Count,Video URL
7495430618776472854,2025-04-20 16:18:59,74,သပိတ်ကျင်း လိပ်ကျရွာ ဗုံးကြဲခံရပြီး ကလေးတွေ အပါအဝင် ၁၂ ဦး သေဆုံး၊ ထင်လင်း/MFP၊ ဧပြီ - ၁၈ မန္တလေးတိုင်း၊ သပိတ်ကျင်းမြို့နယ်၊ မန္တလေး - မိုးကုတ် ကားလမ်းပေါ်က လိပ်ကျကျေးရွာကို ဧပြီ ၁၈ရက် မနက်ပိုင်း စစ်အုပ်စုက တိုက်လေယာဉ်နဲ့ ဗုံးကြဲသတ်ဖြတ်လို့ ကလေးငယ်တွေ အပါအဝင် ပြည်သူ ၁၂ ဦးထက်မနည်း သေဆုံးကာ အများအပြား ဒဏ်ရာရတယ်လို့ ဒေသခံ သတင်းရင်းမြစ်တွေက MFP ကို ပြောပါတယ်။ ဧပြီလ ၁၈ ရက် မနက် ၁၀ နာရီကျော်မှာ လိပ်ကျကျေးရွာ ရွာလည်က စျေးဆိုင်တွေကို အဓိက ပစ်မှတ်ထားပြီး စစ်အုပ်စုက တိုက်လေယာဉ်နဲ့ ဗုံးကြဲသတ်ဖြတ်လို့ ကလေးသူငယ်၊ လမ်းသွားလမ်းလာနဲ့ အမျိုးသမီးတွေ ထိခိုက် သေဆုံးခဲ့တာပါ။ MFP ရဲ့ သတင်း၊ ဆောင်းပါးနဲ့ ရုပ်သံတွေကို ယူကျူ့နဲ့ တယ်လီဂရမ်မှာလည်း ကြည့်နိုင်ပါတယ်။ #Mandalay_Free_Press_MFP #အညာ #MFP #နွေဦးတော်လှန်ရေး #စစ်ကိုင်း #မန္တလေး #မကွေး #သပိတ်ကျင်း #လိပ်ကျ #ဗုံးကြဲ,7421075516131116064,mandalayfreepress,mandalayfreepress,0,132600,0,0,1100000,218,31,30,872,19400,64,https://www.tiktok.com/@mandalayfreepress/video/7495430618776472854
7495006112626789650,2025-04-19 12:51:41,8,မန္တလေး၊ သပိတ်ကျင်းက ရေထွက်ရွာ လေကြောင်းဗုံးကြဲခံရလို့  ၁၃ ဦးသေဆုံး တော်လှန်ရေးအင်အားစုတွေ ထိန်းချုပ်ထားတဲ့ မန္တလေးတိုင်း၊ သပိတ်ကျင်းမြို့နယ်ထဲက ရေထွက်ရွာကို ဒီကနေ့ ဧပြီ ၁၉ ရက် ညနေပိုင်းက စစ်ကောင်စီတပ်က လေကြောင်းကနေ ဗုံးကြဲခဲ့လို့ ကလေးငယ် ၂ ဦးအပါအဝင် ၁၃ ဦး သေဆုံးခဲ့တယ်လို့ သပိတ်ကျင်းပြည်သူ့ကာကွယ်ရေးတပ်က ထုတ်ပြန်ပါတယ်။ ဓာတ်ပုံမှတ်တမ်းတွေနဲ့ ထုတ်ပြန်လာတဲ့အထဲ ဗုံးကျရောက်ပေါက်ကွဲလို့ ဆိုးဆိုးရွားရွားအခြေအနေနဲ့ သေဆုံးကြတာတွေ့ရပါတယ်။ '' အလောင်းတွေက ပြတ်ထွက်ကုန်တာတွေတောင်ရှိတယ်။ မီးလောင်နေတာရယ် လေယာဉ်ဝဲနေတာရယ်ကြောင့် ကယ်ဆယ်ရေးတွေ သတိထားလုပ်နေကြရတယ်'' လို့ မြေပြင်အခြေအနေသိရှိ  #စစ်ကောင်စီလေကြောင်း #သပိတ်ကျင်း #စဉ့်ကူး #သေဆုံး#fyp #fyp #foryoupage ,7394328068003890182,PyaePhyoAung -ပြည့်ဖြိုးအောင်,pyaep003,1339,7461,4598,0,52600,357,749,1149,17600,671500,744,https://www.tiktok.com/@pyaep003/video/7495006112626789650
7420092931987574024,2024-09-29 15:50:19,78,လားရှိုးမြို့ ရပ်ကွက် (၈) စစ်ကောင်စီ ဗုံးကြဲမှု ထိခိုက်ပျက်စီးမှု များပြား မြန်မာသတင်း၊ ၂၀၂၄ စက်တင်ဘာ ၂၉ ရက် #news #myanmarnews #မြန်မာသတင်းများ🇲🇲 #မြန်မာသတင်း ,7352092615662388229,မြန်မာ News,myanmarnews979,39,111600,0,0,694000,278,115,69,2055,92700,69,https://www.tiktok.com/@myanmarnews979/video/7420092931987574024
7495723262756916502,2025-04-21 11:14:38,99,သရက်ချောင်းမှာ ကျေးရွာတချို့ကို စစ်ကောင်စီတပ် လေယာဉ်နဲ့ဗုံးကြဲ #DaweiWatch #Tiktoknews #tiktoknews #တနင်္သာရီတိုင်း #Tanintharyi #myanmar #ထားဝယ် #မြန်မာ #Dawei,7440014214150734880,Dawei Watch,daweiwatch_tv,0,64900,0,0,603800,398,539,96,7934,163200,443,https://www.tiktok.com/@daweiwatch_tv/video/7495723262756916502
7457761286160387336,2025-01-09 04:02:46,59,■ စစ်ကောင်စီ ဗုံးကြဲမှုကြောင့် ရမ်းဗြဲ ကျောက်နီမော်မှာ အရပ်သား ၄၀ ကျော်သေဆုံးပြီး ၂၀ ကျော် ဒဏ်ရာရရှိ Western News| ဇန်နဝါရီ ၉  #WesternNews #WN #ရမ်းဗြဲ #ကျောက်နီမော် #စစ်ကောင်စီ #ဗုံးကြဲ #အရပ်သားများသေဆုံး,7238184629000602630,Western_News,western_news,2,7326,0,0,35300,191,156,365,3757,83100,156,https://www.tiktok.com/@western_news/video/7457761286160387336
7385029854170844433,2024-06-27 04:07:46,7,လေယဉ်နဲ့ဗုံးကျဲနေတယ်ဗျာ,7361763200800982022,Htet Wai Yan,htet.wai.yan996,8085,436,696,0,5053,141,26,12,618,42100,63,https://www.tiktok.com/@htet.wai.yan996/video/7385029854170844433
7413692611468217601,2024-09-12 09:54:19,19,#CapCut #ပြောစရာစကားတောင်မရှိ ဒီလိုအခက်အခဲဘေးပတ်လည်ဝိုင်းနေတဲ့အချိန်မှာတောင် လူသားချင်းစာနာစိတ်ကုန်နေတာလားမသိ😢😢@Hlaing Zar Thin ,7128008698769753090,♡ 라인사띵 ♡《GreenyRose Mile》💚,milephakpham,71400,5665,3278,0,132300,1486,1949,3101,66000,1100000,2441,https://www.tiktok.com/@milephakpham/video/7413692611468217601
7316189330509237506,2023-12-24 15:51:23,123,မူဆယ်မြို့နယ် တိုက်ပွဲပြင်းထန်နေ၊ စစ်တပ်မှ လေယာဉ်ဖြင့် ဗုံးကြဲ,6759944294814221313,SHAN News,shanheraldagencyfornews,952,112300,240,0,804900,2337,54,26,1421,64000,41,https://www.tiktok.com/@shanheraldagencyfornews/video/7316189330509237506
